Theta,Avg_Laplace_Z,Avg_DMIS_Z,Avg_Profile_Lik,Evidence_Posterior,Profile_Posterior
3,-0.297325,-339.978,-2515.11,3.09283e-149,0
3.1,-2.3171,-339.978,-1058.95,3.09283e-149,0
3.2,0.193434,-339.978,-787.813,3.09283e-149,0
3.3,-3.33365,-339.978,-753.115,3.09283e-149,0
3.4,-0.666538,-339.978,-734.973,3.09283e-149,5.17287e-321
3.5,-3.09701,-339.978,-716.316,3.09283e-149,6.55081e-313
3.6,-5.88842,-339.978,-694.753,3.09283e-149,1.51672e-303
3.7,-14.359,-339.978,-669.894,3.09283e-149,9.48352e-293
3.8,-21.9624,-339.978,-644.306,3.09283e-149,1.23013e-281
3.9,-4.55005e+10,-61.8142,-1125.74,1.97389e-28,0
4,-1.12728e+19,-339.978,-539.024,3.09283e-149,6.50109e-236
4.1,-3.05363e+20,-291.41,-564.885,3.83078e-128,3.81951e-247
4.2,-7.31982e+16,-336.05,-453.887,1.57171e-147,6.13257e-199
4.3,-2.58714e+18,-311.319,-442.27,8.64421e-137,6.80896e-194
4.4,-2.86462e+18,-368.028,-325.256,2.03488e-161,4.47992e-143
4.5,-2.2477e+17,-318.624,-336.665,5.8124e-140,4.97234e-148
4.6,-1.13783e+17,-249.999,-383.045,3.6968e-110,3.58231e-168
4.7,-2.03714e+16,-265.146,-285.542,9.76132e-117,7.92404e-126
4.8,-5.94067e+19,-137.112,-292.717,3.92611e-61,6.06728e-129
4.9,-8.25591e+17,-179.111,-128.502,2.25806e-79,1.26032e-57
5,-2.31374e+15,-78.523,-113.026,1.09332e-35,6.63256e-51
5.1,-1.3802e+15,-57.6874,-53.5099,1.22338e-26,4.66933e-25
5.2,-3.36023e+18,-25.3784,-24.9708,1.31581e-12,1.15775e-12
5.3,-3.29361e+16,-5.21223,-11.5606,0.000753755,7.71973e-07
5.4,-8.34414e+18,0.193628,-0.316015,0.167866,0.0590296
5.5,-4.53106e+17,1.63564,2.45286,0.709936,0.94097
5.6,-6.47532e+17,-0.306176,-63.8105,0.101836,1.56947e-29
5.7,-3.59489e+19,-1.95538,-45.8728,0.0195732,9.6828e-22
5.8,-18.4691,-8.2971,-31.7296,3.44737e-05,1.3437e-15
5.9,-13.0562,-14.2005,-31.8146,9.41206e-08,1.23427e-15
6,-9.64283,-20.0575,-33.743,2.69159e-10,1.79436e-16
